Column1,Column2,Column2_1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Backup_Emissions,67.07679,56.03605,44.99529999999999,33.95455,22.9138,11.87305,9.112661,6.311205,6.352674,3.592485999999986,1.3619440000000003,0.832299
MA_Diesel_Gen,0.8023976685345968,0.5281818801067695,0.17094410199999963,0.17094410199999976,0.12322130300000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Biodiesel_Gen,0.0,0.0,0.0,0.0,0.014788248497915376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Methanol_FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Hydrogen_FC,0.0,0.0,0.10101991019749405,0.4756483520092357,0.8354229232941176,1.330786502889266,1.6001944514617885,0.9022498824935189,0.9105785859545926,0.403815416901133,0.0,0.0
MA_Ammonia_Gen,1.2374750004654034,1.5092279988932307,1.746944396802506,1.3723159549907642,1.034042399207967,0.5551114971107342,0.15315366753821139,0.0,0.0,0.0,0.0,0.0
MA_Primary_Al_Air_BESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Secondary_Li_Ion_BESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1944514127424504
MA_Secondary_Iron_Air_BESS,0.15466459799999965,0.1571273879999997,0.17562885800000017,0.17562885800000028,0.1870623929999996,0.3086392669999998,0.441189148,1.2922873845064808,1.2839586810454073,1.7907218500988669,2.194537267,8.585425754955148e-5
MA_solar_pv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_electricity_load_shifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,2.194537267,2.194537267,2.194537267,2.1945372670000003,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267
cTotal,272803.9858748824,283128.5251175531,296585.27330243634,312470.83695623255,328486.1833365508,359846.92754933255,384374.80391446035,541601.8543049311,537435.5971678653,820376.7601401717,1.049700422920786e6,4.086945778570692e6
