Technology,Case,TotalCost,AnnualEmissions,BackupFuelCapacity,BackupVolume,BackupWeight,BackupEmissions,MA_Diesel_Gen,MA_Biodiesel_Gen,MA_Methanol_FC,MA_Hydrogen_FC,MA_Ammonia_Gen,MA_Primary_Al_Air_BESS,MA_Secondary_Li_Ion_BESS,MA_Secondary_Iron_Air_BESS
MA_Diesel_Gen,MA_Diesel_Gen,256636.5905522201,0.7065287801163146,3584.535226545115,99.5232056169094,84041.81807650127,359.41131046704436,2.194537267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Biodiesel_Gen,MA_Biodiesel_Gen,383696.9958833262,0.2314257855555564,3512.8445220142194,102.95122714371425,78856.25908880238,229.8119936853704,0.0,2.194537267,0.0,0.0,0.0,0.0,0.0,0.0
MA_Methanol_FC,MA_Methanol_FC,873621.516340567,0.039494196212068594,1793.3187966234668,114.66969472554982,82263.04186832921,80.34397364963989,0.0,0.0,2.194537267,0.0,0.0,0.0,0.0,0.0
MA_Hydrogen_FC,MA_Hydrogen_FC,651731.5739152314,0.027417204453389774,1493.556344043398,281.39001581512633,13131.534071372562,14.44612502649096,0.0,0.0,0.0,2.194537267,0.0,0.0,0.0,0.0
MA_Ammonia_Gen,MA_Ammonia_Gen,486832.1920088868,0.0798355135401076,2163.598131975534,152.18100180876317,122726.61436190575,79.12177328601766,0.0,0.0,0.0,0.0,2.194537267,0.0,0.0,0.0
