Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,backup_inv_cost_per_mwhyr,backup_fixed_om_cost_per_mwhyr,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
MA_Diesel_Gen,1,1,1,0,0,-1,-1,65400,11287,0.8875,1000,100,1.8575,MA_Diesel,250,91,0.1,4,0,1,1,0.1,0.5,0.5,0,0,MA,1
MA_Methanol_FC,1,1,1,0,0,-1,-1,60000,10000,0.8875,1000,100,1.875,MA_Methanol,250,91,0.1,4,0,1,1,0.1,0.5,0.5,0,0,MA,1
